headline,network,date,overall_duration,title,program_id,timestamps,start_time,end_time,duration,description,reporters
ABC Evening News for 2018-07-01,ABC,2018-07-01,21 minutes long,Preview/Introduction	Tom Llamas (New York),1126863,05:08:20 pm — 05:09:30 pm,17:08:20,17:09:30,70,,[]
ABC Evening News for 2018-07-01,ABC,2018-07-01,21 minutes long,"Weather: Heat Wave, Flooding",1126864,05:09:30 pm — 05:12:00 pm,17:09:30,17:12:00,150,"(Studio: Tom Llamas)  Report introduced.  

(New York: Rob Marciano)  The extreme weather with flooding, tornadoes & a heat wave reviewed; scenes shown from rainy Des Moines. Iowa, tornadoes in Nebraska, hot cities, ABC's Gio Benitez in a hot car; weather & temperature maps shown.   ","['Tom Llamas', 'Rob Marciano']"
ABC Evening News for 2018-07-01,ABC,2018-07-01,21 minutes long,Bahamas / Tour Boat Explosion,1126865,05:12:00 pm — 05:13:40 pm,17:12:00,17:13:40,100,"(Studio: Tom Llamas)  Report introduced.  

(New York: Erielle Reshef)  The explosion of a small tour boat in the Bahamas featured; scenes shown of black smoke; details given about the investigation of the cause of the blast. ","['Tom Llamas', 'Erielle Reshef']"
ABC Evening News for 2018-07-01,ABC,2018-07-01,21 minutes long,Idaho / Stabbing Spree,1126866,05:13:40 pm — 05:14:10 pm,17:13:40,17:14:10,30,"(Studio: Tom Llamas)  The stabbing spree by Timmy Kinner at a little girl's birthday party in Boise, Idaho, reported. ",['Tom Llamas']
ABC Evening News for 2018-07-01,ABC,2018-07-01,21 minutes long,"Trump / Supreme Court, Immigration ",1126867,05:14:10 pm — 05:17:00 pm,17:14:10,17:17:00,170,"(Studio: Tom Llamas)  Report introduced.  

(Berkeley Heights, New Jersey: Tara Palmieri)  The coming battle over President Trump's selecting of a new Supreme Court justice to replace Anthony Kennedy & the ongoing battle over immigration policy featured; scenes shown of immigration marches.  [On Fox, TRUMP&nbsp- says the other side will just resist; comments on immigration: open borders equals crime.]  [On ABC, Senator Susan COLLINS- defends Roe v. Wade.]  [At a rally, Senator Elizabeth WARREN; on CNN, Senator Kirsten GILLIBRAND&nbsp- suggest replacing ICE.]  What Trump saud about a summit with Russian President Vladimir Putin discussed. ","['Tom Llamas', 'Tara Palmieri']"
ABC Evening News for 2018-07-01,ABC,2018-07-01,21 minutes long,Upcoming Items & COMMERCIALS: Progressive; One-A-Day; Eliquis; Alka-Seltzer.,1126868,05:17:00 pm — 05:19:30 pm,17:17:00,17:19:30,150,,[]
ABC Evening News for 2018-07-01,ABC,2018-07-01,21 minutes long,France / The Prison Escape,1126869,05:19:30 pm — 05:21:10 pm,17:19:30,17:21:10,100,"(Studio: Tom Llamas)  Report introduced.  

(London: Eva Pilgrim)  The daring escape from a French prison by convicted murderer Redoine Faid using a hijacked helicopter reviewed; scenes shown; details given about his basing his crimes on movies like ""Heat"" & his 2013 escape. ","['Tom Llamas', 'Eva Pilgrim']"
ABC Evening News for 2018-07-01,ABC,2018-07-01,21 minutes long,Upcoming Items & COMMERCIALS: Humira; Liberty Mutual; itchingforhelp.com; Tremfya.,1126870,05:21:10 pm — 05:24:20 pm,17:21:10,17:24:20,190,,[]
ABC Evening News for 2018-07-01,ABC,2018-07-01,21 minutes long,Index of Other News,1126871,05:24:20 pm — 05:25:10 pm,17:24:20,17:25:10,50,(Studio: Tom Llamas)  A brief look at news stories with video often shown: the collapse of a road in China; an emergency scare at the Washington airport due to smoke on the plane; a shark attack on a woman in Australia. ,['Tom Llamas']
ABC Evening News for 2018-07-01,ABC,2018-07-01,21 minutes long,Upcoming Items & COMMERCIALS: Lyrica; MiraLAX: TD Ameritrade.,1126872,05:25:10 pm — 05:27:10 pm,17:25:10,17:27:10,120,,[]
ABC Evening News for 2018-07-01,ABC,2018-07-01,21 minutes long,Cops Lip-Syncing,1126873,05:27:10 pm — 05:28:50 pm,17:27:10,17:28:50,100,"(Studio: Tom Llamas)  Report introduced.  

(No location given: John Donvan)  Cops in cars lip-syncing to pop songs featured; scenes shown of Texas sheriff's deputy Alexander Mena performing, thus starting the lip-syncing battle.  [MENA&nbsp- comments.]   ","['Tom Llamas', 'John Donvan']"
ABC Evening News for 2018-07-01,ABC,2018-07-01,21 minutes long,Good Night,1126874,05:28:50 pm — 05:28:50 pm,17:28:50,17:28:50,0,,[]
